branch_addr,branch_type,taken,target
0x1f1cd42c,conditional_jump,1,0x1f1cd535
0x1f1cd56a,conditional_jump,1,0x1f1cd582
0x1f1cd521,conditional_jump,0,0x1f1cd44a
0x1f1cd527,direct_jump,1,0x1f1cd538
0x1ddd9839,conditional_jump,1,0x20525181
0x2052518a,conditional_jump,0,0x1ddd984c
0x20525190,direct_jump,1,0x20525181
0x2052518a,conditional_jump,1,0x1ddd984c
0x1ddd97f0,conditional_jump,0,0x1ddd97d9
0x1ddd97f2,direct_jump,1,0x1ddd9832
0x1ddd9846,conditional_jump,1,0x20525192
0x205251a4,conditional_jump,0,0x1ddd984c
0x205251aa,direct_jump,1,0x20525196
0x205251a4,conditional_jump,1,0x1ddd984c
0x1ddd9853,conditional_jump,0,0x1ddd97b2
0x1ddd9873,direct_call,1,0x1ddda200
0x1ddda209,conditional_jump,0,0x20547936
0x1ddda216,conditional_jump,0,0x20547908
0x1ddda228,conditional_jump,1,0x205478e6
0x205478ed,conditional_jump,1,0x20547908
0x20547915,direct_call,1,0x1e2e9240
0x1e2e925a,conditional_jump,1,0x1e2e92f7
0x1e2e930a,direct_call,1,0x1e2ea080
0x1e2ea09b,conditional_jump,1,0x1e2ea0b2
0x1e2ea0ba,conditional_jump,1,0x1e2ea14e
0x1e2ea15c,conditional_jump,0,0x20717b48
0x1e2ea186,direct_call,1,0x1f1c2740
0x1f1c27d1,return,1,0x1e2ea18b
0x1e2ea195,conditional_jump,0,0x20717b33
0x1e2ea1f7,conditional_jump,0,0x1e2ea1ed
0x1e2ea223,return,1,0x1e2e930f
0x1e2e9316,direct_jump,1,0x1e2e92b7
0x1e2e92c1,conditional_jump,0,0x1e2e9318
0x1e2e92d8,return,1,0x2054791a
0x2054791a,direct_jump,1,0x1ddda254
0x1ddda27e,return,1,0x1ddd9878
0x1ddd987e,direct_call,1,0x1ddda200
0x1ddda228,conditional_jump,0,0x205478e6
0x1ddda246,conditional_jump,0,0x2054791f
0x1ddda27e,return,1,0x1ddd9883
0x1ddd988b,direct_call,1,0x1f1c2740
0x1f1c27d1,return,1,0x1ddd9890
0x1ddd991d,conditional_jump,0,0x1ddd99fc
0x1ddd9932,conditional_jump,0,0x1ddd9953
0x1ddd993b,conditional_jump,1,0x1ddd995e
0x1ddd9968,conditional_jump,1,0x1ddd9928
